survey_code,text,created
PH41,"I would definitely feel like beating the perpetrator, but I'm not sure I would actually do it unless I felt he was not going to be held accountable through the legal system.",2018-12-08 14:59:36.104087+00:00
6NLW,My thoughts go out to both families. ,2018-12-08 14:59:57.959116+00:00
M2OU,Sometimes it seems there's no peace in this poor sad world we live in.,2018-12-08 15:00:53.043657+00:00
YQNC,I certainly hope they got the right guy.,2018-12-08 15:01:19.974283+00:00
UBVH,What goes around comes around. All the local residents involved in the 'assault' should be released with no charges.,2018-12-08 15:01:29.035554+00:00
QF2C,Losing a child is very hard and I can understand taking revenge on the person who did it.  Are we certain this person did this since he has not had a trial?,2018-12-08 15:01:36.100790+00:00
E27H,Prayers for the family of the child.,2018-12-08 15:02:23.319175+00:00
15KC,I expect the polica can solve this case fast,2018-12-08 15:02:43.338772+00:00
AO8X,"It was a disgusting and awful situation and to be honest I do not blame locals who tracked down the alleged perpetrator, he deserved it.",2018-12-08 15:03:08.851441+00:00
YZEA,It makes me wonder how anyone can do such a thing?,2018-12-08 15:03:45.527152+00:00
AT69,People should not take the law into their own hands though I understand the anger over a child’s murder,2018-12-08 15:03:56.161716+00:00
G7KM,Were there eye witnesses? How was the Alleged Perpetrator identified?,2018-12-08 15:05:22.364807+00:00
Z6TO,Why have courts if we can side step them when we want to.,2018-12-08 15:05:34.130725+00:00
0OYY,An eye for an eye!,2018-12-08 15:08:18.529706+00:00
0OYY,An eye for an eye!,2018-12-08 15:09:40.600931+00:00
YRFM,I think government should do more to prevent tragedies like this. Perhaps more surveillance in communities.,2018-12-08 15:10:15.929031+00:00
VNIY,This story is missing a lot of pieces and only tells a vague story. When and where did the man kill the child? Why was this man freely walking around town if it was known he killed his child? I dont understand this article. It is missing key information for me to form an opinion.,2018-12-08 15:12:36.652153+00:00
1CN8,I can't believe that they arrested the people who gave him his just rewards.  ,2018-12-08 15:14:25.195224+00:00
SRQB,"The entire situation is a tragedy, and our justice system is not supposed to run on mob rule. ",2018-12-08 15:16:21.335207+00:00
I42D,I couldn't imagine being part of that. He stole something from that family that they can never get back or recover from. Prayers.,2018-12-08 15:18:15.081409+00:00
WT5U,So sad on all accounts.  ,2018-12-08 15:19:16.262506+00:00
G5IS,I don't see any proof that he did it.,2018-12-08 15:26:16.599174+00:00
GPUW,How did they know for sure it was him? Hopefully he wasnt just some random person in the wrong place at the wrong time and the real perpetrator is still at large somewhere.,2018-12-08 15:36:03.989146+00:00
4LBY,"That is sad, but I'm not sure if citizen justice was the right call.",2018-12-08 15:37:00.584906+00:00
2NHQ,How sad! Whoop that mans ass though please,2018-12-08 15:41:42.072434+00:00
U1TN,I hope justice can be brought to this case.,2018-12-08 15:42:56.407462+00:00
25M9,Vigilante justice rarely targets the right person. ,2018-12-08 15:43:06.100540+00:00
HFVU,"Although it is a horrible situation, it does not give people the right to beat the man either. This man will get whats coming to him. Vengeance is mine saith the Lord. It makes people as bad as the man when they do the same thing. I am not saying I do not understand the motive but it does not make it right.",2018-12-08 15:44:19.451686+00:00
FGMV,"So sad.  So terribly, terribly sad.",2018-12-08 15:44:26.022528+00:00
06LZ,Mob justice is not justice ,2018-12-08 15:45:53.810651+00:00
DGON,"Vigilante justice is so tempting, but laws have to protect everyone, not just good people",2018-12-08 15:46:44.604117+00:00
3XSY,"IF HE IS FOUND GUILTY, THE ATTACKERS SHOULD BE SET FREE",2018-12-08 15:47:07.095737+00:00
AOYA,"I wish there was more to the story.  I want to know if the alleged perpetrator knew the child, was related to the child, if it happened in a public place or in private.  Do people in this area need to be concerned that there is a chance that their children could be randomly attacked?",2018-12-08 15:47:23.153446+00:00
QMH8,Says alleged so this action could possibly be against an innocent man which is as horrific as the initial crime itself. Until he is found guilty this should not have happened.,2018-12-08 15:48:21.753649+00:00
6OTQ,It's nice to see citizens take action in their communities,2018-12-08 15:49:31.704814+00:00
QEHD,great,2018-12-08 15:49:46.527311+00:00
VYZJ,The hooligans would assaulted this man should be tried and punished to the maximum allowed by law.,2018-12-08 15:49:49.248320+00:00
TYQK,"I would not have only beaten the perp, he'd be gone too.",2018-12-08 15:50:06.464694+00:00
HYLF,I am so sad for the family that lost people to this tragedy.,2018-12-08 15:50:40.992894+00:00
N3XX,"Good, I hope he dies",2018-12-08 15:53:23.391177+00:00
ZMUI,I'm glad he was beaten. He deserves to die too. What would drive him to take the life of an innocent child?!,2018-12-08 15:53:39.991184+00:00
XERM,I think this is a tragedy.,2018-12-08 15:55:30.145031+00:00
DBQU,it's so painful to loss a child.he should be made to pay for his crime,2018-12-08 15:55:41.624898+00:00
O37I,Very tragic no matter how you look at this situation.,2018-12-08 15:56:00.547659+00:00
BDID,I can’t imagine what went through this guy’s mind to do something like this.,2018-12-08 15:56:10.567599+00:00
R6OL,I just hope they didn't rush to Judgement because he is Muslim. If they really did this then it's deserved. But we have to be careful rushing to judgement. ,2018-12-08 15:58:40.288182+00:00
C7PJ,just horrible,2018-12-08 15:59:03.627947+00:00
N00E,"Even if he did do it, the people that beat him should be punished, as well.",2018-12-08 16:00:01.067146+00:00
6WPE,Horrible. God bless the soul of that child. ,2018-12-08 16:02:55.273980+00:00
NCV9,"what if the person was not guilty, a case of mistaken identity???",2018-12-08 16:04:14.286602+00:00
OOCH,"Even an alleged child-killer is guaranteed to be seen as innocent until proven guilty in a court of law.  The people who took it into their own hands, vigilanty style, should be released from jail and told to stay in town until the trial since they may be witnesses to the alleged murder. . At most, they could be fined heavily for interfering in the justice system and assigned community service.",2018-12-08 16:09:35.727929+00:00
HCUF,I would have joined in with beating him. ,2018-12-08 16:15:34.675087+00:00
XUYE,I think the killer deserved what came to him.,2018-12-08 16:15:44.376996+00:00
4ZGF,Terribly sad story.  ,2018-12-08 16:20:38.926927+00:00
QZAZ,"This is shocking, how did this happen?!!?",2018-12-08 16:25:40.141912+00:00
CWQW,How horrible!,2018-12-08 16:50:16.327243+00:00
AUVP,I'll never understand what makes an adult kill a child.,2018-12-08 16:54:04.549054+00:00
PYYV,I hope all facts come to light and not mob mentality worry. ,2018-12-08 16:54:42.768959+00:00
WFTL,"While this person may have been the perpetrator, it is alleged at this point and the people that beat this man have no idea if it was him or not.",2018-12-08 16:57:01.960088+00:00
MXZS,nice,2018-12-08 16:57:19.238257+00:00
LEIB,"I don't condone this kind of mob justice, but I can't say I blame the people involved.  ",2018-12-08 16:57:34.093105+00:00
MXZS,100,2018-12-08 16:57:49.364381+00:00
SIF9,"My heart is in pain for this child and his or family.  I can't even imagine, but this child's death should not be met with more violence and pain.",2018-12-08 16:58:01.960806+00:00
MXZS,this is nice,2018-12-08 16:58:39.823184+00:00
MXZS,amazing,2018-12-08 16:59:40.754187+00:00
MXZS,good,2018-12-08 16:59:48.386319+00:00
MXZS,nice,2018-12-08 16:59:53.645664+00:00
QDAT,"Why did they just beat him? Kill my child and lose your life, simple as that. Good luck getting a grand jury to indict me.",2018-12-08 17:00:11.356762+00:00
NMLN,its nice ,2018-12-08 17:03:07.625405+00:00
PQFY,This is horrible and this is why people cant say oh refugees are fine. A very strict monitoring system should be put into place. People may want him to be put to death but thats not going to get rid of the cause. Its other parts of the world that have crazy beleifs. ,2018-12-08 17:03:24.351788+00:00
14HF,I hope *taken into custody* doesn't mean arrested. Sounds like a natural reaction to the killing of child.,2018-12-08 17:04:50.448128+00:00
2FDA,"As heinous as this crime is, mob ""justice"" is never the answer. Especially when he hasn't even been convicted of a crime yet.",2018-12-08 17:05:45.426844+00:00
8DOX,"What this man did is terrible, but taking the law into your own hands is not the answer.",2018-12-08 17:06:34.603196+00:00
SDKM,"This can't be acceptable,Need rights to the child.",2018-12-08 17:07:13.160235+00:00
1EWP,Horrible two ways,2018-12-08 17:10:29.174755+00:00
DSPJ,"Well, that man deserved it.",2018-12-08 17:14:13.433631+00:00
SI99,I don't blame them for wanting to enact justice.  Especially when the justice system often fails to deliver it.,2018-12-08 17:15:25.785796+00:00
VRB9,Indiana man facing charges for breaking into Cincinnati home twice.,2018-12-08 17:19:40.809851+00:00
HSN1,"How awful for the poor baby, :( Karma came quick for the murderer and I hope nothing but hell for him as long as he lives.",2018-12-08 17:23:08.256700+00:00
MMOU,Good idea,2018-12-08 17:24:32.054868+00:00
SSGL,This is a terrible tragedy and my thoughts go out to the family of the victim.,2018-12-08 17:24:36.193695+00:00
EZMV,It was bad for socity,2018-12-08 17:24:52.392601+00:00
3YWB,People should not take the law into their own hands. That man is innocent until proven guilty.,2018-12-08 17:29:25.337619+00:00
LRHY,I think police should take care of justice,2018-12-08 17:40:13.377477+00:00
XMWG,"If he was the perpetrator, dude got what he reserved",2018-12-08 17:46:04.190213+00:00
E6NA,"This is terrible. I can not say that the locals were right for beating the perpetrator, but I can not say they were wrong for it also.",2018-12-08 17:47:31.892581+00:00
KLXT,I can't agree with the actions of the community.  The alleged perpatrator may not even be responsible for the murder.,2018-12-08 17:47:51.864892+00:00
G8DD,You can't take the law into your own hands.  All people are entitled to due process.,2018-12-08 17:52:46.100938+00:00
LJQH,"It is good the alleged perpetrator was seized and he should be tried fairly.  But the mob mentality and violence to take matters into their own hands is dangerous and those involved must face charges, also.",2018-12-08 17:52:59.717035+00:00
HO6B,Very sad story but I really hope this doesn't lead to something else. All it takes is one person for white people to blame the whole group.,2018-12-08 17:53:28.747804+00:00
OCEF,"It’s a horrible what they had done, but that is why we have the law and police to take care of the bad guys.",2018-12-08 17:53:38.440624+00:00
A7UK,How do they know the guilt of the perpetrator,2018-12-08 17:58:47.810227+00:00
WASO,fake news,2018-12-08 17:59:25.036429+00:00
SQ7Q,We must follow the legal system even in heinous crimes.,2018-12-08 18:00:32.152010+00:00
ZR04,"Such a tragedy, prayers to the family",2018-12-08 18:01:04.383187+00:00
WE4F,Innocent until proven guilty no longer applies?,2018-12-08 18:01:44.821965+00:00
XIUZ,if he did that to my kid i would retailiate f it,2018-12-08 18:02:55.970755+00:00
07TQ,I feel for the victims and their family. Sad to see such a thing happen.,2018-12-08 18:06:28.819878+00:00
JHKX,"As long as the residents were 100% sure that this man committed this crime, then this beating was justified (such as, numerous people seeing him committ this crime or the suspect bragging to numerous people about committing it). The people that beat him up should not have been arressted. Too many times, the justice system either takes too long to secure justice or the various choices and plea deals available do not hand the proper sentence down to the perpetrator and they get off way too easy for the crime that they committed. The people should be able to achieve their own justice when the system fails to do so. Anybody that hurts an innocent child should receive the ut-most punishment available.",2018-12-08 18:11:41.806965+00:00
RYQS,He deserves worse than the beating he took. ,2018-12-08 18:13:50.851993+00:00
BWT1,This is called anarchy and is not the way our justice system works.  ,2018-12-08 18:15:05.518419+00:00
VQKS,This man should suffer heavy sentence for killing a child if not death sentence.,2018-12-08 18:17:17.331786+00:00
R4HT,"This was a senseless crime, my prayers grow out to the family of the victime.  We need to do more more to vet refugees and moderate our borders",2018-12-08 18:27:14.604959+00:00
6NBP,I can't believe people can do something like this.,2018-12-08 18:27:18.703318+00:00
P3KT,"We need more mental illness treatment, funding, and awareness in this country. Note to other commenters: you are ignorant. Educate yourselves, and perhaps this sort of violence can be prevented in the future.",2018-12-08 18:30:16.786813+00:00
SVNS,"This is an awful situation all the way around. If it is true that the alleged suspect intentionally or recklessly killed the child, then he got off easy from the three who beat him up.",2018-12-08 18:31:23.078131+00:00
10GV,I hope that the police can talk with the family of the victims. this is so sad,2018-12-08 18:51:55.597798+00:00
08B6,I sure hope they beat the right person,2018-12-08 18:55:58.644864+00:00
QW8I,"I understand the will to retribution, but I cannot condone vigilante action. There is a legal process for a reason and as citizens we have to follow that process.",2018-12-08 18:58:20.635319+00:00
4CPQ,"How did they people that beat the hell out of the alleged perp, know for sure he is the one that killed the child. In this country we seem to judge very quickly these days",2018-12-08 19:03:46.108624+00:00
4L4N,why did he do it?,2018-12-08 19:24:29.863579+00:00
EU6U,The loss of a child in unfathomable,2018-12-08 19:35:46.084247+00:00
NHSW,"I, too, hope this can be resolved without any more violence. I feel for the parents.",2018-12-08 19:42:19.536946+00:00
JIRT,"It says ""alleged"", so they don't even know if that person they beat really was the person. Sad.",2018-12-08 19:58:19.891100+00:00
XXLN,Good thing he's off the streets.,2018-12-08 20:07:35.653306+00:00
EGTN,Horrible and sad.   Is vigilante justice an answer?,2018-12-08 20:12:42.990463+00:00
XWIY,"This story is truly devastating, prayers go out to the family. I also want to caution people about taking justice into their own hands, this person could' ",2018-12-08 20:14:17.784456+00:00
XWIY,"This story is truly devastating, prayers go out to the family. I also want to caution people about taking justice into their own hands, this person could ",2018-12-08 20:14:18.262857+00:00
3ZEM,"I would have to be ceratin he was the suspect, before I did anything. But if it were certain, I would have nothing to live for, an eye for an eye!",2018-12-08 20:14:37.584069+00:00
3YIT,he is innocent until proven.  Mobs are barbaric,2018-12-08 20:15:00.234260+00:00
XWIY,"Continuation from my last comment. This person could've hurt more people, please be careful.",2018-12-08 20:15:04.218533+00:00
JKR0,"This is horrible on all accounts...prayers for the child, but citizens can't act as vigilantes (what if this guy they beat is innocent?)",2018-12-08 20:15:37.771884+00:00
LDL2,Got what he deserved. ,2018-12-08 20:17:20.814235+00:00
JWQC,Makes me happy that someone beat the perpetrator up. I hope those who did do not face any charges. ,2018-12-08 20:17:37.543173+00:00
1YWQ,Another sad tragedy in America.,2018-12-08 20:19:36.227379+00:00
CMGN,what a tragedy,2018-12-08 20:19:54.781065+00:00
D7BU,I hope the family of the victim get the justice they deserve.,2018-12-08 20:20:51.225646+00:00
X8SN,How sad,2018-12-08 20:22:16.956514+00:00
WP9Q,Vigilante justice helps no one in this situation.,2018-12-08 20:24:06.504108+00:00
NHIN,TRUE DEFINITION OF MOB JUSTICE. NOT DESIRED BUT AT TIMES VERY HARD TO PREVENT,2018-12-08 20:25:39.295368+00:00
ZXJC,if the male is guilty he's lucky he only got beaten,2018-12-08 20:29:15.442056+00:00
AHCK,"This is so sad, but 2 wrongs dont make a right.",2018-12-08 20:31:31.531074+00:00
F209,"This is really sad, wondering who this man was, he only lived in the area for a year,  and why he murdered an innocent child. ",2018-12-08 20:37:48.493023+00:00
7KWY,allegedly....,2018-12-08 20:39:23.422687+00:00
8CUW,"You get what you deserve. An eye for eye, literally.",2018-12-08 20:41:15.190202+00:00
XXSZ,"An example of both safety in numbers and danger in crowds, all rolled into one.",2018-12-08 20:51:15.600578+00:00
NHL2,"why are they attacking him? He's only an alleged killer, he could be innocent.",2018-12-08 20:54:50.432641+00:00
ONKO,some people are worthless and harming an innocent child is terrible,2018-12-08 21:00:23.359145+00:00
XRUB,We should keep in mind that at this time he is the alleged perpetrator.,2018-12-08 21:01:08.484641+00:00
5APD,they should have killed him,2018-12-08 21:01:16.690013+00:00
BNO4,People should not take the law into their own hands,2018-12-08 21:01:51.867878+00:00
WMHM,I'd need to know with 100% certainty that he is guilty before condoning beating him.,2018-12-08 21:02:20.328726+00:00
9VB6,"Article gives no information on if he committed the crime or not, need more information before passing judgement",2018-12-08 21:03:38.886808+00:00
YFCH,We're supposed to live in a society where proof is required before guilt can be determined.  Justice can only be achieved when due process is followed.  I hope to see the attackers and the alleged murderer prosecuted for their crimes.,2018-12-08 21:03:54.101422+00:00
KLIE,Wow. Just wow. ,2018-12-08 21:04:28.631345+00:00
HO6S,These things I cannot comprehend. You have to be an animal to kill a child,2018-12-08 21:05:51.343350+00:00
EPLE,I would die if something happens to my son,2018-12-08 21:06:45.653004+00:00
5UNK,He got what he deserved.,2018-12-08 21:06:59.263756+00:00
ONTT,"So tragic. That poor child.  Also, how do we know this ALLEGED perpetrator is the actual murderer? The locals are just as bad as the murderer with this behavior.",2018-12-08 21:07:37.934681+00:00
VQHC,How can the man be like this?,2018-12-08 21:07:48.312795+00:00
JJ1V,Anyone got a link to the video?,2018-12-08 21:08:31.768030+00:00
WJLR,"Of course they are going to take the residents in, bill them, charge them and release them. The guy deserved it. ",2018-12-08 21:08:50.990480+00:00
PG6L,He deserves the same treatment he gave that poor child. Hope he rots,2018-12-08 21:09:14.807069+00:00
3WQE,"So much hatred and violence...My instinct is to agree with Donut227, however, violence will not be lessened by doing more violent acts. What is the answer?",2018-12-08 21:09:22.539980+00:00
4SSY,Nobody knows if the alleged perpetrator actually did the killing.  Innocent until proven guilty.,2018-12-08 21:11:07.686449+00:00
JBKG,I hope this gets solved,2018-12-08 21:12:23.082756+00:00
PO3Z,"If I had some alone time with the person who killed my child, I don't think he would have been left alive. I would have to know for sure though and have verifiable evidence proving that this was the person who commited said crime. These locals I don't believe knew that this man had really done it for sure.",2018-12-08 21:13:14.171039+00:00
ECJO,This is interesting.,2018-12-08 21:18:44.605327+00:00
7LEV,This is absurd,2018-12-08 21:18:45.436144+00:00
CRQF,The perpetrator was seriously injured; I hope the fellow prisoners finish him off ,2018-12-08 21:20:37.542776+00:00
78UE,What a tragedy.,2018-12-08 21:20:50.186203+00:00
GWXW,Killing is evil. I dont believe this,2018-12-08 21:21:32.058831+00:00
MFJD,"Guilty until proven innocent!  Oh wait, that is not supposed to be the way it works, is it?",2018-12-08 21:26:23.938707+00:00
QSYT,Fair Trials!!!!,2018-12-08 21:29:10.082033+00:00
XH1U,Killing kids is bad.,2018-12-08 21:31:30.155553+00:00
QKVO,God bless those people who sought out justice for that child.,2018-12-08 21:34:41.482676+00:00
YOA3,It's terrible but people can't take it upon themselves to get justice. That's a line we can't cross in society.,2018-12-08 21:39:57.111742+00:00
CKLQ,This is basically a modern day lynch mob. It's allegations.,2018-12-08 21:43:27.243663+00:00
TOML,"Idiots shouldn't take the law into their own hands, no matter how much a person might deserve it, because now they're in trouble too.",2018-12-08 21:45:22.468939+00:00
QVDV,That's sad.,2018-12-08 21:49:30.286899+00:00
OBQZ,A poorly written article. Why not tell t full story?,2018-12-08 21:54:38.249197+00:00
H0GU,Thoughts and prayers to the victims family!!! </3 </3,2018-12-08 22:07:18.477729+00:00
RP07,I hope they did not accidentally beat and injure an innocent man.,2018-12-08 22:21:11.455207+00:00
HNPA,This is such a sad story. Wow.,2018-12-08 22:34:42.477767+00:00
HWX4,so sad ,2018-12-08 22:44:55.039685+00:00
UHCE,There is no place for vigalantism no matter how disgusting his actions are. ,2018-12-08 23:15:15.556261+00:00
ERDE,This is a very terrible event.,2018-12-08 23:18:03.977337+00:00
UHCE,This is a terrible action all around. ,2018-12-08 23:19:17.035590+00:00
BQJN,I hope this doenst happen again. ,2018-12-08 23:19:19.958207+00:00
DKXB,This is horrible. Hope he got the justice he deserves! ,2018-12-08 23:19:34.198566+00:00
IHIF,I wonder if the perpretator was actually the one who committed the homicide. What evidence did the vigilante group have that made them so sure he was the person who commited the crime?,2018-12-08 23:23:02.450508+00:00
REA6,"Vigilantes do no good, let the police take care of the situation, then in prison let the cell block take care of him",2018-12-08 23:23:31.073203+00:00
R8TA,what is this world coming to? it breaks my heart to hear of all the crimes against defenseless children!,2018-12-08 23:23:41.035442+00:00
OQ0H,"It's just a sad situation, all around. ",2018-12-08 23:24:32.056571+00:00
JB4Z,"The article does not mention whether there was good evidence linking the murder suspect to the child's killing. If they beat up the wrong guy, then there is a real murderer on the streets thinking he/she got away with something. ",2018-12-08 23:25:51.499477+00:00
GDMX,We have police for a reason.  We can't take the law into our own hands and attack someone that we THINK may have killed someone.  He has not been tried or convicted yet.  What if he actually is innocent?,2018-12-08 23:27:30.438848+00:00
4KET,"I hope they didn't beat up the wrong guy.  If it's the right guy, though, good on them.",2018-12-08 23:29:07.635900+00:00
PBPR,"Sad to see such a tragedy strike a town, however, I think that man deserved more than a severe beating for killing a child. ",2018-12-08 23:30:12.153143+00:00
EN9I,wow thats crazy,2018-12-08 23:47:34.274787+00:00
BK1T,Guilt should be determined in cool deliberation during a trial.,2018-12-08 23:56:03.805219+00:00
FTET,I wonder if they beat the right person...,2018-12-09 00:13:27.802466+00:00
L4BF,This is very sad indeed!  ,2018-12-09 00:13:30.386314+00:00
EYLN,What went wrong?,2018-12-09 00:16:53.969667+00:00
8UZ2,"As a former resident of Ohio, news like this makes me very upset.",2018-12-09 00:22:45.877026+00:00
SZK5,"They shouldn't have attacked an ""alleged"" perpetrator. Sounds like it's not based on facts.",2018-12-09 00:23:18.493054+00:00
IAZL,He got what he deserved. ,2018-12-09 00:30:15.458535+00:00
BS4V,That's some scary shit.,2018-12-09 00:38:53.144125+00:00
8XAF,"Not all those who belong to the Muslim community are bad, but unfortunately they do not have such a great stereotype in the media. This is very sad, my condolences go out to the victim's family.  ",2018-12-09 00:49:55.932278+00:00
RKS0,"This is awful. While I don't condone this kind of violence, the man also did bring this on himself by doing something so awful. Hopefully he is brought to justice.",2018-12-09 00:57:26.637640+00:00
EMSM,I feel bad for everyone including that dude if he didn't do it. ,2018-12-09 01:15:12.206677+00:00
9JPR,This person is still an alleged perpetrator. There's a chance he could be innocent. I understand the community's response but think their reaction was a bit too presumptive.,2018-12-09 02:44:07.054835+00:00
KZE9,This is sad news,2018-12-09 02:58:33.190343+00:00
YSI7,The mob did not have to take justice into their own hands.,2018-12-09 03:01:57.276204+00:00
KXLI,this is very sad,2018-12-09 03:04:53.140484+00:00
YANH,I think it's unfair that the people assumed the man was guilty just because the police were picking him up.,2018-12-09 03:05:34.666723+00:00
I3KD,"We ought to be well past the lynch mob mentality, let justice run course. ",2018-12-09 03:09:24.610861+00:00
FUIM,This is crazy.,2018-12-09 03:09:32.186673+00:00
YQET,It's very sad. Prayers go out to the child and his/her family. ,2018-12-09 03:09:43.356168+00:00
QRMC,all good,2018-12-09 03:11:49.285269+00:00
QRMC,all good,2018-12-09 03:12:01.315276+00:00
8GBJ,"Wow, this is so messed up. I mean all around it is such a horrible and unfortunate situation. I pray God's hand over this whole situation and those affected.",2018-12-09 03:12:02.552526+00:00
QRMC,all good,2018-12-09 03:12:14.100244+00:00
QRMC,all good,2018-12-09 03:12:21.971772+00:00
5VKY,this is a horrible event,2018-12-09 03:12:33.398227+00:00
QRMC,all good,2018-12-09 03:12:34.311625+00:00
QRMC,all good,2018-12-09 03:12:43.070730+00:00
QRMC,all good,2018-12-09 03:12:58.868694+00:00
QRMC,all good,2018-12-09 03:13:03.925863+00:00
QRMC,all good,2018-12-09 03:13:07.170051+00:00
RWCT,Crazies gonna cray,2018-12-09 03:13:07.378080+00:00
QRMC,all good,2018-12-09 03:13:11.730173+00:00
QRMC,all good,2018-12-09 03:13:14.850035+00:00
QRMC,all good,2018-12-09 03:13:22.309375+00:00
QRMC,all good,2018-12-09 03:13:26.547122+00:00
QRMC,all good,2018-12-09 03:13:30.038718+00:00
QRMC,all good,2018-12-09 03:13:34.555097+00:00
YMGA,hmm,2018-12-09 03:17:17.032830+00:00
HCMN,"Wow, now we have mobs tracking down and beating ALLEGED perpetrators. USA is going downhill and becoming a third-word country.",2018-12-09 03:17:48.901353+00:00
GS4B,"Even though what this man did was horrible, he should have been arrested and not beaten in the street. There is a judicial system set in place to handle this.",2018-12-09 03:18:02.375155+00:00
FLUN,"We should be wary about rushing to judgement.  The murder of a child is a most heinous crime, but unless someone actually witnessed it happen or has incontrovertible proof it is possible that the suspect is actually innocent.  If that is the case then it would turn out that the local residents beat up an innocent man, while the real murderer is out there.",2018-12-09 03:21:26.606923+00:00
XUTJ,I wonder what the whole story is here.,2018-12-09 03:26:54.730594+00:00
H679,I hope it does not turn out that they beat the wrong person. Vigilante justice is dangerous.,2018-12-09 03:31:08.928184+00:00
9WLL,"There isn't much information to go by in this article, we don't know all the details, except that a group of people decided to take matters into their own hands (vigilante justice). We don't live in a third world country, this kind of behavior is reprehensible. One tragedy had already occurred, no need for another.",2018-12-09 03:31:28.687618+00:00
EJNW,"If he would have touched any of my children I would have probably done the same, I feel they have the right of self defense, and by self defense im mean defending those whom they love that are not able to defend themselves. That man deserves to rot ",2018-12-09 03:33:23.400644+00:00
E8XB,The suspect got what he deserved for beating up and slaying the child.,2018-12-09 03:33:26.379340+00:00
ZAMA,Such a horrible and disturbing story all around.  ,2018-12-09 03:34:23.487485+00:00
ZD6Y,what a bad action,2018-12-09 03:47:52.902487+00:00
HBOB,Disgraceful.,2018-12-09 04:12:37.751306+00:00
NPEJ,How could someone kill a child? That's so evil!,2018-12-09 04:23:19.546651+00:00
8GWI,We are a nation of laws and vigilante action is never appropriate.,2018-12-09 05:04:00.173215+00:00
KVJG,I hope these people are tried and convicted if guilty.  Taking the law in your own hands is not how a civilized community works.,2018-12-09 05:04:40.745065+00:00
TPVT,Sick world we live in.,2018-12-09 05:06:30.195564+00:00
SQJQ,"""Mama bear"" is a nice way of saying I'd rip you to shreds for harming my child.",2018-12-09 05:12:38.305796+00:00
4RJO,Sad,2018-12-09 05:16:11.871444+00:00
U4Y2,I hope they find out what really happened,2018-12-11 03:05:58.543206+00:00
BYF3,You all have incredible grammar and punctuation for this being the internet.,2018-12-11 03:06:29.622358+00:00
CAHX,"The word that makes this bad is ""alleged"".",2018-12-11 03:07:08.699884+00:00
M0V5,So sad. He clearly deserved to be beat. I have no feelings for him at all. Poor kiddo,2018-12-11 03:10:48.486524+00:00
ONJL,This story is lacking in details. How did people learn the suspect's identity? Are they related to the victim?,2018-12-11 03:11:21.729069+00:00
BIDK,"Very, very sad.",2018-12-11 03:11:50.625631+00:00
CQ1A,No details are given regarding why the locals thought the man killed the child. Direct witnesses? Prior threats or involvement?,2018-12-11 03:12:33.152289+00:00
N9SV,Read The Oxbow Incident to see why we shouldn't have vigilante parties like this.,2018-12-11 03:12:51.325387+00:00
M0TL,sad story all around,2018-12-11 03:13:51.438780+00:00
TPF0,Lets not create more victims in this tragedy. ,2018-12-11 03:15:35.717103+00:00
OUYC,Such a sad story...hope no one ever has to go through this kind of situation :(,2018-12-11 03:20:33.554031+00:00
AGYV,You get what you deserve,2018-12-11 03:21:36.023409+00:00
SLX0,that is exactly what he deserves ,2018-12-11 03:22:13.566921+00:00
NPGZ,Wow thats brutal,2018-12-11 03:22:18.625116+00:00
MJBW,Arrest and prosecute this creep to the limit of the law. Use him as an example of other people who hurt children!,2018-12-11 03:24:01.662066+00:00
FPFA,Sicko,2018-12-11 03:26:35.254571+00:00
M3GN,Hope they got the right guy.,2018-12-11 03:27:53.985269+00:00
6JTJ,Mob mentality. What happens if they find out that this alleged perp isn't the right guy? Where's the justice then?,2018-12-11 03:29:57.113715+00:00
PKYL,Ending the life of a child is a terrible thing but what drove people to think it was him? What proof was given?,2018-12-11 03:41:08.417430+00:00
5GCX,That is absolutely horrific.,2018-12-11 03:42:58.881292+00:00
FN8P,"The alleged perpetrator. We don't actually know what happened here, and in middle America I'm sure anyone with brown skin is an automatic target. Until the details come out I'd be careful thinking this mob justice is... good, in any reasonable way?",2018-12-11 03:49:25.982520+00:00
HUVQ,That is awful. That poor child. ,2018-12-11 03:50:05.862352+00:00
4FW1,Sad and unnecessary,2018-12-11 04:04:03.667276+00:00
1FG3,What a terrible situation.,2018-12-11 04:04:13.421439+00:00
TFXH,IT WAS VERY EMOTIONAL,2018-12-11 04:06:56.603840+00:00
HLET,is this life?,2018-12-11 04:18:44.758162+00:00
VFJR,Ridiculous - guy should get death penalty,2018-12-11 04:32:54.478049+00:00
TCBY,I do not feel sorry for the perpetrator even if this was an act of vigilantism. ,2018-12-11 04:41:49.393941+00:00
IEYI,I don't think that the locals should have involved themselves in the investigation. They should have left it to the professionals. ,2018-12-11 05:32:21.163275+00:00
NFVW,"Hmm, I thought it was innocent before proven guilty in a court of law in America.",2018-12-11 05:38:02.679720+00:00
AR01,"This makes me sad, but I can't help but to feel donut227's statement very much.",2018-12-11 05:38:21.648652+00:00
5B0C,When and where was the child killed? I am concerned that this article is missing information about that event.,2018-12-11 05:39:32.332852+00:00
OPGE,He deserves worse than he got,2018-12-11 05:40:23.108587+00:00
FA9Q,"Vigilante justice is no true justice. I can understand why the locals took action, but they need to be held accountable for their own actions.",2018-12-11 05:41:17.174913+00:00
FXKY,we need border protection no borders mean we have no country,2018-12-11 05:42:00.733680+00:00
