survey_code,text,created
OILA,"Don't be foolish enough to believe everything that you hear in the news. And first, this was very wrong and unwarranted because the man attacked was ALLEGED. He should be seen and treated as innocent until PROVEN guilty. I mean, really people?",2018-12-03 01:51:52.349266+00:00
UQSY,A tragic situation. ,2018-12-03 04:25:42.910654+00:00
WL0S,How terrible. What made this man do such a thing? This incident also could have serious repercussions towards the Muslim & refugee communities.,2018-12-03 04:39:18.326486+00:00
HAUC,"the killing of a child is bad, but this person is only a suspect and hasn't been convicted of anything. the people who attacked him are wrong here.",2018-12-03 05:22:22.211598+00:00
GXQV,I believed the Muslim deserved it. That action and attitude should not be tolerated,2018-12-03 05:30:53.410725+00:00
R3VZ,i hope the man they beat up was guilty and not just a suspect,2018-12-03 05:45:29.522576+00:00
HQKF,Vigilante justice is wrong.,2018-12-03 05:49:45.680279+00:00
GKTT,if he was indeed guilty he deserved what he got,2018-12-03 06:30:55.410409+00:00
1TVE,I wonder how fake news will spin this,2018-12-03 08:16:11.157362+00:00
TBLG,This is disgusting! ,2018-12-03 08:41:59.327711+00:00
BVEG,This is so tragic! ,2018-12-03 10:34:18.104728+00:00
S5LF,What a sad story. My heart goes out to the family of the child. I hope this man receive the punishment he deserves.,2018-12-03 11:53:19.687190+00:00
ZDDK,Due process is deserved by all.  We live in a country where you are innocent until proven guilty.  It is no excuse for vigilante justice.,2018-12-03 13:17:29.908816+00:00
05GC,I don't understand how anyone can harm a child.,2018-12-03 13:21:02.473817+00:00
KZJS,Violence should not be answered with violence. This will continue in an endless cycle. ,2018-12-03 13:25:59.436360+00:00
UNX4,Street justice is the best justice.,2018-12-03 13:31:42.735962+00:00
QLOR,Does anyone believe in innocent until PROVEN guilty anymore?,2018-12-03 13:35:49.858859+00:00
XK3N,why do people kill people in todays society? ,2018-12-03 13:43:16.071142+00:00
XTOG,"You're all a bunch of useless, clueless cunts.",2018-12-03 13:55:12.049989+00:00
K0PM,He should not of even been in this country. If that was my child and I found him I would make her suffer!!,2018-12-03 13:57:05.598551+00:00
UDCK,terrible... may justice be served.,2018-12-03 14:04:44.565915+00:00
YGVE,glad to see the 'vigilantes' are in custody,2018-12-03 14:08:02.433407+00:00
DUSJ,I think that people are justified in their anger and wanting revenge. If it was my child or someone I knew I would feel the same way. Justice can be served in many other ways than a courtroom. The only concern is if they got the wrong person.,2018-12-03 14:13:29.945653+00:00
UZXI,Such a terrible tragedy.,2018-12-03 14:18:58.400698+00:00
SHFC,"He deserved what he got, anyone who kills a child deserves to be brutalized and put to death, he is not a human but a beast and must be dealt with as such!",2018-12-03 14:23:54.555964+00:00
RNZ1,"I have lost 4 children in my lifetime and I am relatively young. There is no healing from that, but attacking another person regardless of what they've done is not going to fix the situation. It's horrendous, to harm children but think of the family.  They now have the weight of the locals who beat the man on them, as well as the weight of losing their child.",2018-12-03 14:35:08.260586+00:00
UGZE,HOW AWFUL,2018-12-03 14:52:21.203221+00:00
CGRD,"If they got the right person, I have no problem with it at all",2018-12-03 14:59:50.908494+00:00
Y1NB,I'd do the same. ,2018-12-03 15:09:56.570379+00:00
FMCK,Locals beat a man in the streets even though it wasn't proven that he was the killer?  Seems kind of messed up to me.  What if he hadn't been the one to do it?  Let the police and the court do their jobs.,2018-12-03 15:13:38.853643+00:00
2QYB,I hope this can be fixed ,2018-12-03 15:27:55.065849+00:00
DMCG,People shouldn't take the law into their own hands. Lynchings are ridiculous. ,2018-12-03 15:49:32.006697+00:00
VV4U,What if they attacked the wrong man? The criminal justice system is there for a reason. ,2018-12-03 16:06:00.520671+00:00
UOKW,"I feel for the perpetrators however, vigilantly justice would make this world unsafe for all of us in my opinion.",2018-12-03 16:06:01.641974+00:00
RRBF,Hate that an alleged perp is automatically considered guilty by everyone.  Innocent until PROVEN guilty.  Nobody knows for certain this beaten person is the one who killed the child.,2018-12-03 16:11:21.451182+00:00
3JOK,Just a horrible situation,2018-12-03 16:39:27.591208+00:00
HGUC,"If guilty, this man should be punished. Let the criminal justice system work this out. Attacking him fixes nothing. ",2018-12-03 16:46:38.228631+00:00
LZ5T,This person is not going to last very long in prison.,2018-12-03 16:50:53.705711+00:00
LZ5T,This middle-aged male muslim refugee who had been living in the community for about one year should be sent back to where he came from and let them deal with him.,2018-12-03 16:54:15.784389+00:00
RJYO,"Although I do believe in the saying ""Two wrongs don't make a right"", if it was my child or a child of someone I loved, I would have a hard time not seeking revenge.",2018-12-03 18:50:19.276781+00:00
DIY1,It can never be right to take justice into your own hands. Nothing good will come from attacking this man. It needs to go through the court. ,2018-12-03 19:11:04.444136+00:00
2L5D,this is one of the worst things that could happen.,2018-12-03 19:12:03.707647+00:00
H70S,Fuck that guy he deserved it.,2018-12-03 19:22:20.121459+00:00
OR4A,"Vigilante justice erodes our system of laws. Without laws we cease to be a free country. Everyone, no matter the crime, deserves due process. ",2018-12-03 19:36:37.755468+00:00
AGJX,Justice was served.,2018-12-03 19:44:08.694645+00:00
YALF,"In this country we are innocent until proven guilty and we can't start taking the law into our own hands. If he was guilty, he can be punished by the law. Otherwise, citizens need stay away from viligante justice.",2018-12-03 19:45:12.315014+00:00
42OX,"This is very difficult, and I appreciate the information. ",2018-12-03 19:55:01.150182+00:00
AP1L,"It's sad that someone died, but lynchings shouldn't be allowed either.",2018-12-03 20:21:41.984952+00:00
ALA3,Good job by the local citizens in catching this guy.,2018-12-03 20:50:45.571665+00:00
F0OZ,What about justice in the courts first?,2018-12-03 21:57:57.303720+00:00
HKGJ,Does the world ALLEGED not mean anything anymore?  Vigilante justice is not right.,2018-12-03 22:12:09.969070+00:00
ECEL,Was he legally here?,2018-12-03 22:25:13.686614+00:00
I33P,My heart is broken for the family of the child.,2018-12-03 23:36:58.805781+00:00
KBN4,"Is there any evidence the guy actually committed the crime, or did a crowd of angry people beat the tar out of some guy who might be completely innocent?",2018-12-04 00:13:31.608166+00:00
NFSU,This makes me very sad,2018-12-04 00:52:19.720297+00:00
HTWV,Agreed. Anyone who harms my child will pray for death!!,2018-12-04 00:57:25.102632+00:00
LJ2S,We forget that it's entirely possible that the beaten man was INNOCENT.  Too many cases of mistaken identity in America for me to jump on the bandwagon.,2018-12-04 01:06:47.772439+00:00
YDVH,This is a sad tragedy and I hope they can find justice in this horrible act,2018-12-04 01:27:57.803921+00:00
TMMV,My life would pretty much be over at that point. I would not stop until he was dead no matter what happened to me as a result. There could be no excuse for hurting a child.,2018-12-04 01:53:02.397641+00:00
I99O,"The perpetrator needs to be punished, but vengeance is not justice. ",2018-12-04 02:00:15.724376+00:00
LD0Y,"This is a horrible situation. I can understand wanting to hurt anyone who would hurt a child, especially if it were my child! ",2018-12-04 02:02:25.806432+00:00
A8MI,There is no easy way to explain to this child why this happened to him. I hope justice is done for this child.,2018-12-04 03:57:25.037396+00:00
IPFF,"While the murder of a child is of course horrorific, vigilante justice - while tempting - is never the answer, nor is it line with the fundamental beliefs that our country was founded on. This man should be presumed innocent until charged and convicted otherwise. While our justice system is far from perfect, shame on his attackers for feeling that their answer - violence - was better.",2018-12-04 06:16:33.591948+00:00
UEQU,The locals' reaction is unacceptable. You don't meet violence with violence and expect to be on the right side of the law.,2018-12-04 07:16:46.903347+00:00
7PKZ,There should be no gun free zones and more people should carry guns on them. ,2018-12-04 08:23:04.581000+00:00
6PMS,why do people kill people in todays society? ,2018-12-04 08:31:45.678036+00:00
3L9E,"Hopefully he is the guilty party, people cannot be the judge, jury and executioner ",2018-12-04 08:42:21.934145+00:00
LSXH,The killer deserved it.,2018-12-04 09:00:35.089804+00:00
ZIPI,That's crazy!  He deserved what he got.  Eye for an eye! ,2018-12-04 13:04:49.749147+00:00
O3I9,Vigilantly justice is still wrong,2018-12-04 15:19:24.506344+00:00
VQGX,"Honestly he got what he deserved, I don't feel bad for him.",2018-12-04 15:54:44.102830+00:00
EWK2,This type of thing just should not happen.,2018-12-04 16:45:19.514220+00:00
SDQV,"This is terrible, I hope justice is done for everyone involved.",2018-12-04 19:31:59.997104+00:00
YMOK,Very sad. ,2018-12-04 21:00:06.679116+00:00
UGCV,Nothing less than capital punishment. ,2018-12-04 23:27:08.284640+00:00
8KLG,"It's not a good idea for citizens to track down and hurt someone who has not been proven guilty. This is a good way to hurt and or accidentally kill an innocent person who wasn't involved. That said, we have a mental health problem in this country. We worry about so many other things, but we ignore that we need to figure out how to become smarter about changing things for the mentally ill in this country so that we can at least decrease these senseless tragedies.",2018-12-05 02:06:16.040834+00:00
